Date;Enviorment;Temperature;Humidity
2016-10-01 00:00;Inne;22.9;41
2016-10-01 00:00;Ute;11.3;63
2016-10-01 00:01;Inne;22.9;41
2016-10-01 00:01;Ute;11.3;63
2016-10-01 00:02;Inne;22.9;41
2016-10-01 00:02;Ute;11.3;63
2016-10-01 00:03;Inne;22.9;41
2016-10-01 00:03;Ute;11.3;63
2016-10-01 00:04;Inne;22.9;41
2016-10-01 00:04;Ute;11.3;63
2016-10-01 00:05;Inne;22.9;41
2016-10-01 00:05;Ute;11.3;63
2016-10-01 00:06;Inne;22.9;41
2016-10-01 00:06;Ute;11.3;63
2016-10-01 00:07;Inne;22.9;41
2016-10-01 00:07;Ute;11.3;63
2016-10-01 00:08;Inne;22.9;41
2016-10-01 00:08;Ute;11.3;63
2016-10-01 00:09;Inne;22.9;41
2016-10-01 00:09;Ute;11.3;63
2016-10-01 00:10;Inne;22.9;41
2016-10-01 00:10;Ute;11.3;63
2016-10-01 00:11;Inne;22.9;41
2016-10-01 00:11;Ute;11.3;63
2016-10-01 00:12;Inne;22.9;41
2016-10-01 00:12;Ute;11.3;64
2016-10-01 00:13;Inne;22.9;41
2016-10-01 00:13;Ute;11.3;64
2016-10-01 00:14;Inne;22.9;41
2016-10-01 00:14;Ute;11.3;64
2016-10-01 00:15;Inne;22.9;41
2016-10-01 00:15;Ute;11.3;65
2016-10-01 00:16;Inne;22.9;41
2016-10-01 00:16;Ute;11.3;65
2016-10-01 00:17;Inne;22.9;41
2016-10-01 00:17;Ute;11.3;64
2016-10-01 00:18;Inne;22.9;41
2016-10-01 00:18;Ute;11.3;64
2016-10-01 00:19;Inne;22.9;41
2016-10-01 00:19;Ute;11.3;64
2016-10-01 00:20;Inne;22.9;41
2016-10-01 00:20;Ute;11.3;64
2016-10-01 00:21;Inne;22.9;41
2016-10-01 00:21;Ute;11.3;65
2016-10-01 00:22;Inne;22.9;41
2016-10-01 00:22;Ute;11.3;64
2016-10-01 00:23;Inne;22.9;41
2016-10-01 00:23;Ute;11.3;64
2016-10-01 00:24;Inne;22.9;41
2016-10-01 00:24;Ute;11.3;64
2016-10-01 00:25;Inne;22.9;41
2016-10-01 00:25;Ute;11.3;64
2016-10-01 00:26;Ute;11.3;64
2016-10-01 00:26;Inne;23;41
2016-10-01 00:27;Inne;22.9;41
2016-10-01 00:27;Ute;11.3;64
2016-10-01 00:28;Inne;22.9;41
2016-10-01 00:28;Ute;11.3;64
2016-10-01 00:29;Inne;22.9;41
2016-10-01 00:29;Ute;11.3;64
2016-10-01 00:30;Inne;22.9;41
2016-10-01 00:30;Ute;11.3;64
2016-10-01 00:31;Inne;22.9;41
2016-10-01 00:31;Ute;11.3;64
2016-10-01 00:32;Inne;22.9;41
2016-10-01 00:32;Ute;11.3;65
2016-10-01 00:33;Inne;22.9;41
2016-10-01 00:33;Ute;11.3;65
2016-10-01 00:34;Inne;22.9;41
2016-10-01 00:34;Ute;11.3;65
2016-10-01 00:35;Inne;22.9;41
2016-10-01 00:35;Ute;11.3;64
2016-10-01 00:36;Inne;22.9;41
2016-10-01 00:36;Ute;11.3;64
2016-10-01 00:37;Inne;22.9;41
2016-10-01 00:37;Ute;11.3;64
2016-10-01 00:38;Inne;22.9;41
2016-10-01 00:38;Ute;11.3;65
2016-10-01 00:39;Inne;22.9;41
2016-10-01 00:39;Ute;11.3;65
2016-10-01 00:40;Inne;22.9;41
